		1	1	1	1	1	1	1	1	0	0	0	0
110	音叉物位开关	2120D1DV1E1XM0160	艾默生	2120 E1	隔爆	螺纹NPT1	316L	185mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
77	音叉物位开关	211010DNA	艾默生	2110	非防爆	螺纹NPT3/4	316L	69mm	PNP/PLC低压开关,配置18~60V直流插头连接件	随带的4通插头连接 (DIN43650)	–40~150°C		
78	音叉物位开关	211011BNA	艾默生	2110	非防爆	螺纹G1	316L	78mm	PNP/PLC低压开关,配置18~60V直流插头连接件	随带的4通插头连接 (DIN43650)	–40~150°C		
9	音叉物位开关	FTL50-AGM2AA2G5A	E+H	FTL5X-A	非防爆	螺纹NPT3/4	316L	66.5mm	SIL三线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	一体化;316L;Ra<3.2um/126uin	
10	音叉物位开关	FTL50-AGN2AA2G5A	E+H	FTL5X-A	非防爆	螺纹NPT1	316L	69mm	SIL三线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	一体化;316L;Ra<3.2um/126uin	
11	音叉物位开关	FTL50-AGQ2AA2G5A	E+H	FTL5X-A	非防爆	螺纹G3/4	316L	66.5mm	SIL三线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	一体化;316L;Ra<3.2um/126uin	
12	音叉物位开关	FTL50-AGR2AA2G5A	E+H	FTL5X-A	非防爆	螺纹G1	316L	80mm	SIL三线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	一体化;316L;Ra<3.2um/126uin	
13	音叉物位开关	FTL50-KGM2AA2G5A	E+H	FTL5X-K	隔爆	螺纹NPT3/4	316L	66.5mm	SIL三线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	一体化;316L;Ra<3.2um/126uin	ATEX II 1/2G Ex d IIC T6/IECEx zone0/1
14	音叉物位开关	FTL50-KGN2AA2G5A	E+H	FTL5X-K	隔爆	螺纹NPT1	316L	69mm	SIL三线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	一体化;316L;Ra<3.2um/126uin	ATEX II 1/2G Ex d IIC T6/IECEx zone0/1
15	音叉物位开关	FTL50-KGQ2AA2G5A	E+H	FTL5X-K	隔爆	螺纹G3/4	316L	66.5mm	SIL三线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	一体化;316L;Ra<3.2um/126uin	ATEX II 1/2G Ex d IIC T6/IECEx zone0/1
16	音叉物位开关	FTL50-KGR2AA2G5A	E+H	FTL5X-K	隔爆	螺纹G1	316L	80mm	SIL三线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	一体化;316L;Ra<3.2um/126uin	ATEX II 1/2G Ex d IIC T6/IECEx zone0/1
17	音叉物位开关	FTL50-NGM2AA2G5A	E+H	FTL5X-N	隔爆	螺纹NPT3/4	316L	66.5mm	SIL三线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	一体化;316L;Ra<3.2um/126uin	NEPSI Ex d IIC T3-T6 Ga/Gb
18	音叉物位开关	FTL50-NGN2AA2G5A	E+H	FTL5X-N	隔爆	螺纹NPT1	316L	69mm	SIL三线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	一体化;316L;Ra<3.2um/126uin	NEPSI Ex d IIC T3-T6 Ga/Gb
19	音叉物位开关	FTL50-NGQ2AA2G5A	E+H	FTL5X-N	隔爆	螺纹G3/4	316L	66.5mm	SIL三线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	一体化;316L;Ra<3.2um/126uin	NEPSI Ex d IIC T3-T6 Ga/Gb
20	音叉物位开关	FTL50-NGR2AA2G5A	E+H	FTL5X-N	隔爆	螺纹G1	316L	80mm	SIL三线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	一体化;316L;Ra<3.2um/126uin	NEPSI Ex d IIC T3-T6 Ga/Gb
21	音叉物位开关	FTL51-AGM2BB2G5A(160mm)	E+H	FTL5X-A	非防爆	螺纹NPT3/4	316L	160mm	SIL三线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	
79	音叉物位开关	2120D0BG1NAXA0000	艾默生	2120 NA	非防爆	螺纹G3/4	316L	69mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
80	音叉物位开关	2120D1BG1NAXA0000	艾默生	2120 NA	非防爆	螺纹G1	316L	69mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
81	音叉物位开关	2120D0DG1NAXA0000	艾默生	2120 NA	非防爆	螺纹NPT3/4	316L	69mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
82	音叉物位开关	2120D1DG1NAXA0000	艾默生	2120 NA	非防爆	螺纹NPT1	316L	69mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
95	音叉物位开关	2120D0BG1E1XA0000	艾默生	2120 E1	隔爆	螺纹G3/4	316L	69mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
96	音叉物位开关	2120D1BG1E1XA0000	艾默生	2120 E1	隔爆	螺纹G1	316L	69mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
97	音叉物位开关	2120D0DG1E1XA0000	艾默生	2120 E1	隔爆	螺纹NPT3/4	316L	69mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
98	音叉物位开关	2120D1DG1E1XA0000	艾默生	2120 E1	隔爆	螺纹NPT1	316L	69mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
111	音叉物位开关	2130PA2MS9NNGA00001NA	艾默生	2130 NA	非防爆	螺纹G3/4	316L	69mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
112	音叉物位开关	2130PA2MS1NNGA00001NA	艾默生	2130 NA	非防爆	螺纹G1	316L	69mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
113	音叉物位开关	2130PA2MS9NNNA00001NA	艾默生	2130 NA	非防爆	螺纹NPT3/4	316L	69mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
114	音叉物位开关	2130PA2MS1NNNA00001NA	艾默生	2130 NA	非防爆	螺纹NPT1	316L	69mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
127	音叉物位开关	2130PA2ES9NNGA00001NA	艾默生	2130 NA	非防爆	螺纹G3/4	316L	69mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
128	音叉物位开关	2130PA2ES1NNGA00001NA	艾默生	2130 NA	非防爆	螺纹G1	316L	69mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
129	音叉物位开关	2130PA2ES9NNNA00001NA	艾默生	2130 NA	非防爆	螺纹NPT3/4	316L	69mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
130	音叉物位开关	2130PA2ES1NNNA00001NA	艾默生	2130 NA	非防爆	螺纹NPT1	316L	69mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
115	音叉物位开关	2130DA2MS9NNGA00001NA	艾默生	2130 NA	非防爆	螺纹G3/4	316L	69mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
116	音叉物位开关	2130DA2MS1NNGA00001NA	艾默生	2130 NA	非防爆	螺纹G1	316L	69mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
117	音叉物位开关	2130DA2MS9NNNA00001NA	艾默生	2130 NA	非防爆	螺纹NPT3/4	316L	69mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
118	音叉物位开关	2130DA2MS1NNNA00001NA	艾默生	2130 NA	非防爆	螺纹NPT1	316L	69mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
131	音叉物位开关	2130DA2ES9NNGA00001NA	艾默生	2130 NA	非防爆	螺纹G3/4	316L	69mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
132	音叉物位开关	2130DA2ES1NNGA00001NA	艾默生	2130 NA	非防爆	螺纹G1	316L	69mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
133	音叉物位开关	2130DA2ES9NNNA00001NA	艾默生	2130 NA	非防爆	螺纹NPT3/4	316L	69mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
134	音叉物位开关	2130DA2ES1NNNA00001NA	艾默生	2130 NA	非防爆	螺纹NPT1	316L	69mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
83	音叉物位开关	2120D0BV1NAXA0000	艾默生	2120 NA	非防爆	螺纹G3/4	316L	69mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
84	音叉物位开关	2120D1BV1NAXA0000	艾默生	2120 NA	非防爆	螺纹G1	316L	69mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
85	音叉物位开关	2120D0DV1NAXA0000	艾默生	2120 NA	非防爆	螺纹NPT3/4	316L	69mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
86	音叉物位开关	2120D1DV1NAXA0000	艾默生	2120 NA	非防爆	螺纹NPT1	316L	69mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
99	音叉物位开关	2120D0BV1E1XA0000	艾默生	2120 E1	隔爆	螺纹G3/4	316L	69mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
100	音叉物位开关	2120D1BV1E1XA0000	艾默生	2120 E1	隔爆	螺纹G1	316L	69mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
101	音叉物位开关	2120D0DV1E1XA0000	艾默生	2120 E1	隔爆	螺纹NPT3/4	316L	69mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
102	音叉物位开关	2120D1DV1E1XA0000	艾默生	2120 E1	隔爆	螺纹NPT1	316L	69mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
